	sequences per sample	iteration	E3.7.Pav.vari.1.20150124.T	E3.5.Gal.astr.1.20150124.T	E1.5.Gal.astr.1.20140728.T	E7.6.Acr.hyac.3.20150622.T	E3.7.Pav.vari.2.20150124.T	E1.7.Pav.vari.1.20140805.T	E7.7.Pav.vari.2.20150622.T	E3.6.Acr.hyac.4.20150105.T	E1.5.Gal.astr.1.20140905.T	E3.6.Acr.hyac.4.20150106.T	E7.10.Ser.cali.1.20150622.T	E10.Ser.cali.3.20150627.T	E7.6.Acr.hyac.1.20150622.T	E7.6.Acr.hyac.2.20150622.T	E7.10.Poc.dami.3.20150621.T	E10.Poc.dami.1.20150628.T	E7.10.Ser.cali.3.20150622.T	E7.10.Poc.dami.1.20150621.T	E7.10.Poc.dami.2.20150621.T	E7.10.Ser.cali.2.20150622.T	E10.Poc.dami.2.20150628.T
alpha_rarefaction_68_5.txt	68	5	565.5	169.0	771.5	23.0	152.5	369.0	428.0	20.0	446.0	14.0	56.0	28.5	16.0	43.0	48.5	6.0	35.1666666667	21.25	35.75	32.0	5.0
alpha_rarefaction_68_6.txt	68	6	1277.0	112.6	690.5	52.0	446.0	446.0	334.0	28.0	490.75	15.3333333333	21.5	44.0	17.5	18.75	37.6	5.0	32.875	35.0	31.0	19.25	7.5
alpha_rarefaction_68_7.txt	68	7	249.0	209.5	462.333333333	31.0	234.166666667	517.333333333	297.5	41.0	213.0	14.5	83.0	28.5	15.0	16.0	35.75	8.0	27.5	26.5	33.0	14.5	7.5
alpha_rarefaction_68_8.txt	68	8	347.0	162.0	373.75	37.0	201.857142857	592.0	567.5	33.0	338.5	22.0	31.0	32.25	18.0	20.625	29.0	4.0	40.3333333333	22.25	38.5	26.0	6.0
alpha_rarefaction_68_9.txt	68	9	250.0	75.4285714286	360.25	73.5	388.5	345.2	264.0	32.0	357.0	12.0	27.25	36.1428571429	19.75	19.0	31.0	5.5	47.0	15.0	25.0	15.0	5.5
alpha_rarefaction_97_0.txt	97	0	1245.0	131.111111111	515.2	20.5	186.545454545	519.0	540.75	22.0	774.75	13.2	47.0	56.0	16.0	24.2	31.2	12.0	43.1111111111	22.0	34.25	26.0	5.5
alpha_rarefaction_97_1.txt	97	1	676.0	549.0	502.0	23.6666666667	325.0	636.0	475.2	34.0	532.166666667	17.5	58.0	34.25	14.25	28.0	32.0	13.0	44.3333333333	32.0	62.6	27.0	10.0
alpha_rarefaction_97_2.txt	97	2	557.25	132.25	412.142857143	38.5	315.333333333	480.5	981.0	35.0	981.333333333	12.0	63.0	41.3333333333	38.0	19.3333333333	23.2	5.5	35.0	42.5	69.0	40.0	10.0
alpha_rarefaction_97_3.txt	97	3	948.0	262.0	624.75	43.0	276.625	1872.0	320.857142857	25.3333333333	366.0	15.0	31.0	43.1666666667	30.0	31.25	56.3333333333	7.5	35.0	36.0	35.25	26.0	8.75
alpha_rarefaction_97_4.txt	97	4	382.2	128.111111111	419.625	41.2	322.857142857	570.666666667	488.0	17.0	469.0	17.0	52.0	41.3333333333	19.0	21.5	32.0	7.5	37.0	23.25	42.3333333333	26.0	9.0
