	sequences per sample	iteration	E3.7.Pav.vari.1.20150124.T	E3.5.Gal.astr.1.20150124.T	E1.5.Gal.astr.1.20140728.T	E7.6.Acr.hyac.3.20150622.T	E3.7.Pav.vari.2.20150124.T	E1.7.Pav.vari.1.20140805.T	E7.7.Pav.vari.2.20150622.T	E3.6.Acr.hyac.4.20150105.T	E1.5.Gal.astr.1.20140905.T	E3.6.Acr.hyac.4.20150106.T	E7.10.Ser.cali.1.20150622.T	E10.Ser.cali.3.20150627.T	E7.6.Acr.hyac.1.20150622.T	E7.6.Acr.hyac.2.20150622.T	E7.10.Poc.dami.3.20150621.T	E10.Poc.dami.1.20150628.T	E7.10.Ser.cali.3.20150622.T	E7.10.Poc.dami.1.20150621.T	E7.10.Poc.dami.2.20150621.T	E7.10.Ser.cali.2.20150622.T	E10.Poc.dami.2.20150628.T
alpha_rarefaction_68_6.txt	68	6	52.0	37.0	53.0	19.0	54.0	54.0	47.0	14.0	63.0	12.0	11.0	22.0	15.0	15.0	22.0	4.0	26.0	17.0	17.0	14.0	6.0
alpha_rarefaction_68_7.txt	68	7	51.0	34.0	54.0	16.0	54.0	58.0	50.0	13.0	49.0	13.0	17.0	21.0	13.0	14.0	22.0	5.0	23.0	16.0	22.0	12.0	6.0
alpha_rarefaction_68_8.txt	68	8	46.0	43.0	55.0	16.0	54.0	60.0	50.0	15.0	63.0	12.0	13.0	21.0	12.0	18.0	20.0	4.0	22.0	17.0	22.0	14.0	5.0
alpha_rarefaction_68_9.txt	68	9	45.0	36.0	54.0	21.0	57.0	59.0	42.0	14.0	60.0	11.0	16.0	25.0	16.0	17.0	19.0	5.0	26.0	12.0	18.0	10.0	5.0
alpha_rarefaction_97_0.txt	97	0	72.0	53.0	73.0	17.0	66.0	81.0	68.0	15.0	81.0	13.0	23.0	26.0	14.0	20.0	24.0	6.0	33.0	17.0	23.0	17.0	5.0
alpha_rarefaction_97_1.txt	97	1	66.0	54.0	73.0	19.0	73.0	81.0	72.0	16.0	82.0	15.0	24.0	23.0	14.0	19.0	23.0	7.0	26.0	18.0	32.0	15.0	7.0
alpha_rarefaction_97_2.txt	97	2	69.0	49.0	77.0	22.0	77.0	78.0	66.0	17.0	81.0	11.0	23.0	23.0	17.0	16.0	19.0	5.0	26.0	20.0	29.0	18.0	7.0
alpha_rarefaction_97_3.txt	97	3	63.0	55.0	72.0	21.0	70.0	87.0	68.0	16.0	82.0	13.0	20.0	28.0	15.0	20.0	26.0	6.0	26.0	21.0	24.0	12.0	8.0
alpha_rarefaction_97_4.txt	97	4	63.0	50.0	82.0	23.0	70.0	83.0	72.0	12.0	78.0	15.0	22.0	23.0	13.0	19.0	23.0	6.0	31.0	18.0	24.0	11.0	6.0
alpha_rarefaction_97_5.txt	97	5	63.0	53.0	74.0	20.0	73.0	84.0	63.0	11.0	81.0	15.0	18.0	27.0	18.0	20.0	26.0	4.0	27.0	19.0	25.0	13.0	6.0
