	sequences per sample	iteration	E3.7.Pav.vari.1.20150124.T	E3.5.Gal.astr.1.20150124.T	E1.5.Gal.astr.1.20140728.T	E7.6.Acr.hyac.3.20150622.T	E3.7.Pav.vari.2.20150124.T	E1.7.Pav.vari.1.20140805.T	E7.7.Pav.vari.2.20150622.T	E3.6.Acr.hyac.4.20150105.T	E1.5.Gal.astr.1.20140905.T	E3.6.Acr.hyac.4.20150106.T	E7.10.Ser.cali.1.20150622.T	E10.Ser.cali.3.20150627.T	E7.6.Acr.hyac.1.20150622.T	E7.6.Acr.hyac.2.20150622.T	E7.10.Poc.dami.3.20150621.T	E10.Poc.dami.1.20150628.T	E7.10.Ser.cali.3.20150622.T	E7.10.Poc.dami.1.20150621.T	E7.10.Poc.dami.2.20150621.T	E7.10.Ser.cali.2.20150622.T	E10.Poc.dami.2.20150628.T
alpha_rarefaction_68_2.txt	68	2	11.02128	9.39053	11.8742	3.31975	15.63479	14.48373	12.13981	2.57174	16.5877	3.42548	4.76153	5.05126	3.20637	3.43765	5.94919	1.91107	5.65129	3.70892	5.54097	3.552	2.90076
alpha_rarefaction_68_3.txt	68	3	9.94557	11.24877	11.53465	3.97949	14.59784	15.6681	13.43959	2.78449	17.00413	3.70034	4.25489	5.71568	3.40257	3.25255	5.66102	1.72745	6.04561	3.50071	4.95748	3.83026	2.53673
alpha_rarefaction_68_4.txt	68	4	12.83159	10.23246	13.92893	2.80251	13.90503	12.49924	12.69313	2.7736	17.1892	3.49539	5.06699	4.43183	3.19543	3.21127	6.02047	2.24028	5.91783	4.16181	6.41169	3.26197	2.75573
alpha_rarefaction_68_5.txt	68	5	12.89682	11.70813	12.54242	3.77318	13.24791	14.21496	11.36935	3.41546	16.92996	3.41215	6.29161	5.30679	3.51942	3.22399	6.45446	2.4239	6.42973	3.40416	4.75415	3.55796	2.29215
alpha_rarefaction_68_6.txt	68	6	12.29814	10.8893	14.02242	4.34718	14.10273	14.65027	10.68062	3.19432	17.5049	3.60353	4.511	5.02141	3.43228	3.19345	6.64661	2.19113	5.6706	3.64904	3.85002	3.35067	2.90076
alpha_rarefaction_68_7.txt	68	7	12.66742	8.56087	14.15915	3.77539	14.08757	12.99164	12.87379	3.27714	13.53904	3.35927	5.96125	4.83726	3.85767	3.16442	6.85151	2.35855	6.01351	3.44087	4.88174	3.67167	2.78807
alpha_rarefaction_68_8.txt	68	8	12.18201	10.91507	14.37365	3.56333	15.65309	14.59915	13.30081	3.36441	17.42208	3.58475	4.68962	5.28276	3.22433	3.4949	5.95246	1.91107	5.07058	4.61512	6.36326	4.07592	2.59468
alpha_rarefaction_68_9.txt	68	9	11.79735	9.70985	13.38325	4.09585	15.99876	15.60807	11.57229	3.47358	15.35181	3.38844	4.577	6.13772	3.72673	3.21879	5.49843	1.93173	6.69737	3.5328	4.84676	3.2565	2.38314
alpha_rarefaction_97_0.txt	97	0	19.27341	12.52285	15.64423	4.00827	15.30154	20.14873	14.66128	3.10142	22.81698	3.74906	6.13836	6.29995	3.4682	3.39835	6.8391	2.87138	7.35047	4.09383	5.96507	5.06541	2.53634
alpha_rarefaction_97_1.txt	97	1	16.90561	11.85767	15.19714	4.21881	18.62868	20.01682	16.591	3.60194	20.7833	3.66881	7.06189	5.44547	3.57127	3.54951	7.44687	2.72247	5.82346	4.37847	5.81625	4.8036	3.25489
